,Religious Bodies,Tradition,Family,Congregations,Adherents,Adherence Rate†
0,American Baptist Churches in the USA,Mainline Protestant,Baptist,9,"4,670",17.64
1,Assemblies of God,Evangelical Protestant,Pentecostal,5,854,3.23
2,Black Baptists Estimate,Evangelical Protestant,Baptist,0,0,0.0
3,Catholic Church,Catholic,Catholicism,14,"37,762",142.63
4,"Christian and Missionary Alliance, The",Evangelical Protestant,Holiness,1,85,0.32
5,Christian Brethren,Evangelical Protestant,Ind. Fundamentalist,0,0,0.0
6,Christian Church (Disciples of Christ),Mainline Protestant,Baptist,1,161,0.61
7,Christian Churches and Churches of Christ,Evangelical Protestant,Baptist,1,235,0.89
8,Christian Reformed Church in North America,Evangelical Protestant,Presbyterian-Reformed,2,487,1.84
9,"Church of Christ, Scientist",Other,Christian Science,0,0,0.0
10,"Church of God (Anderson, Indiana)",Evangelical Protestant,Holiness,3,738,2.79
11,"Church of God (Cleveland, Tennessee)",Evangelical Protestant,Pentecostal,2,225,0.85
12,Church of God of Prophecy,Evangelical Protestant,Pentecostal,0,0,0.0
13,"Church of God, Mountain Assembly, Inc.",Evangelical Protestant,Pentecostal,0,0,0.0
14,"Church of Jesus Christ of Latter-day Saints, The",Other,Latter-day Saints,4,"1,172",4.43
15,"Church of Jesus Christ, The (Bickertonites)",Other,Latter-day Saints,1,36,0.14
16,Church of the Nazarene,Evangelical Protestant,Holiness,4,382,1.44
17,Churches of Christ,Evangelical Protestant,Baptist,8,"1,107",4.18
18,Converge Worldwide/Baptist General Conference,Evangelical Protestant,Baptist,1,188,0.71
19,Episcopal Church,Mainline Protestant,Episcopalianism/Anglicanism,7,"4,682",17.68
20,Evangelical Lutheran Church in America,Mainline Protestant,Lutheran,9,"6,192",23.39
21,Evangelical Presbyterian Church,Evangelical Protestant,Presbyterian-Reformed,0,0,0.0
22,Free Methodist Church of North America,Evangelical Protestant,Holiness,4,"1,503",5.68
23,Friends (Quakers),Mainline Protestant,European Free-Church,2,290,1.1
24,Greek Orthodox Archdiocese of America,Orthodox,Eastern Liturgical (Orthodox),0,0,0.0
25,Independent Fundamental Churches of America,Evangelical Protestant,Ind. Fundamentalist,0,0,0.0
26,"Independent, Charismatic Churches",Evangelical Protestant,Pentecostal,0,0,0.0
27,"Independent, Non-Charismatic Churches",Evangelical Protestant,----,0,0,0.0
28,Jewish,Other,Judaism,2,606,2.29
29,Lutheran Church--Missouri Synod,Evangelical Protestant,Lutheran,11,"4,243",16.03
30,Mennonite Church,Evangelical Protestant,European Free-Church,3,63,0.24
31,"Mennonite Church, The General Conference",Evangelical Protestant,European Free-Church,1,14,0.05
32,"Metropolitan Community Churches, Universal Fellowship of",Mainline Protestant,Other Groups,0,50,0.19
33,"Missionary Church, The",Evangelical Protestant,Holiness,1,36,0.14
34,National Association of Congregational Christian Churches,Mainline Protestant,Presbyterian-Reformed,1,"1,164",4.4
35,National Association of Free Will Baptists,Evangelical Protestant,Baptist,0,0,0.0
36,Old Regular Baptists,Evangelical Protestant,Baptist,0,0,0.0
37,"Open Bible Standard Churches, Inc.",Evangelical Protestant,Pentecostal,0,0,0.0
38,Pentecostal Church of God,Evangelical Protestant,Pentecostal,0,0,0.0
39,Presbyterian Church (U.S.A.),Mainline Protestant,Presbyterian-Reformed,7,"3,856",14.56
40,Reformed Church in America,Mainline Protestant,Presbyterian-Reformed,1,402,1.52
41,Salvation Army,Evangelical Protestant,Holiness,2,536,2.02
42,Seventh-day Adventist Church,Evangelical Protestant,Adventist,3,454,1.71
43,Southern Baptist Convention,Evangelical Protestant,Baptist,7,"2,248",8.49
44,Unitarian Universalist Association of Congregations,Other,Liberal,2,450,1.7
45,United Baptists,Evangelical Protestant,Baptist,0,0,0.0
46,United Church of Christ,Mainline Protestant,Presbyterian-Reformed,11,"6,058",22.88
47,"United Methodist Church, The",Mainline Protestant,Methodist/Pietist,18,"8,020",30.29
48,"Wesleyan Church, The",Evangelical Protestant,Holiness,0,0,0.0
49,Wisconsin Evangelical Lutheran Synod,Evangelical Protestant,Lutheran,6,"2,378",8.98
