,Religious Bodies,Tradition,Family,Congregations,Adherents,Adherence Rate†
0,African Methodist Episcopal Church,Black Protestant,Methodist/Pietist,5,"1,399",4.06
1,American Baptist Churches in the USA,Mainline Protestant,Baptist,7,"1,770",5.13
2,"Antiochian Orthodox Christian Archdiocese of North America, The",Orthodox,Eastern Liturgical (Orthodox),1,63,0.18
3,Armenian Church of North America (Catholicosate of Etchmiadzin),Orthodox,Eastern Liturgical (Orthodox),1,30,0.09
4,Assemblies of God,Evangelical Protestant,Pentecostal,13,"1,375",3.99
5,Bahá'í,Other,Other Groups,3,358,1.04
6,"Buddhism, Mahayana",Other,Other Groups,4,300,0.87
7,"Buddhism, Theravada",Other,Other Groups,3,295,0.86
8,"Buddhism, Vajrayana",Other,Other Groups,2,180,0.52
9,Calvary Chapel Fellowship Churches,Evangelical Protestant,Pentecostal,1,---,---
10,Catholic Church,Catholic,Catholicism,14,"42,603",123.56
11,"Christian and Missionary Alliance, The",Evangelical Protestant,Holiness,2,104,0.30
12,Christian Church (Disciples of Christ),Mainline Protestant,Baptist,1,104,0.30
13,Christian Churches and Churches of Christ,Evangelical Protestant,Baptist,1,42,0.12
14,Christian Reformed Church in North America,Evangelical Protestant,Presbyterian-Reformed,4,930,2.70
15,"Church of Christ, Scientist",Other,Christian Science,1,---,---
16,"Church of God (Anderson, Indiana)",Evangelical Protestant,Holiness,2,510,1.48
17,"Church of God (Cleveland, Tennessee)",Evangelical Protestant,Pentecostal,2,"1,233",3.58
18,Church of God in Christ,Black Protestant,Pentecostal,11,"2,356",6.83
19,Church of God of Prophecy,Evangelical Protestant,Pentecostal,1,18,0.05
20,"Church of Jesus Christ of Latter-day Saints, The",Other,Latter-day Saints,7,"2,929",8.50
21,"Church of Our Lord Jesus Christ of the Apostolic Faith, Inc.",Black Protestant,Pentecostal,1,---,---
22,Church of the Brethren,Evangelical Protestant,European Free-Church,1,50,0.15
23,Church of the Nazarene,Evangelical Protestant,Holiness,4,192,0.56
24,Churches of Christ,Evangelical Protestant,Baptist,6,825,2.39
25,Community of Christ,Other,Latter-day Saints,1,167,0.48
26,Conservative Judaism,Other,Judaism,1,"1,234",3.58
27,Converge Worldwide/Baptist General Conference,Evangelical Protestant,Baptist,1,90,0.26
28,Coptic Orthodox Church,Orthodox,Eastern Liturgical (Orthodox),1,125,0.36
29,Episcopal Church,Mainline Protestant,Episcopalianism/Anglicanism,8,"2,264",6.57
30,"Evangelical Covenant Church, The",Evangelical Protestant,Methodist/Pietist,1,129,0.37
31,Evangelical Friends Church International*,Evangelical Protestant,European Free-Church,1,48,0.14
32,Evangelical Lutheran Church in America,Mainline Protestant,Lutheran,8,"4,079",11.83
33,Evangelical Presbyterian Church,Evangelical Protestant,Presbyterian-Reformed,2,756,2.19
34,Free Methodist Church of North America,Evangelical Protestant,Holiness,5,846,2.45
35,Friends General Conference*,Mainline Protestant,European Free-Church,2,157,0.46
36,General Association of Regular Baptist Churches,Evangelical Protestant,Baptist,1,---,---
37,Greek Orthodox Archdiocese of America,Orthodox,Eastern Liturgical (Orthodox),1,400,1.16
38,"Hindu, Indian-American Hindu Temple Assoc.",Other,Other Groups,1,250,0.73
39,"Hindu, Post Renaissance",Other,Other Groups,3,112,0.32
40,Independent Baptist Fellowship International,Evangelical Protestant,Baptist,1,---,---
41,Independent Fundamental Churches of America,Evangelical Protestant,Ind. Fundamentalist,2,---,---
42,Jehovah's Witnesses,Other,Adventist,6,---,---
43,Lutheran Church--Missouri Synod,Evangelical Protestant,Lutheran,9,"4,287",12.43
44,Lutheran Congregations in Mission for Christ,Evangelical Protestant,Lutheran,1,---,---
45,Mennonite Church USA,Evangelical Protestant,European Free-Church,2,62,0.18
46,"Metropolitan Community Churches, Universal Fellowship of",Mainline Protestant,Other Groups,1,18,0.05
47,Muslim Estimate,Other,Other Groups,3,"4,463",12.94
48,National Association of Congregational Christian Churches,Mainline Protestant,Presbyterian-Reformed,1,896,2.60
49,National Association of Free Will Baptists,Evangelical Protestant,Baptist,5,601,1.74
50,"National Baptist Convention, USA, Inc.",Black Protestant,Baptist,5,"1,381",4.01
51,"New Apostolic Church of North America, National Organization of the",Other,Other Groups,1,---,---
52,Non-denominational,Evangelical Protestant,----,19,"5,418",15.71
53,Pentecostal Church of God,Evangelical Protestant,Pentecostal,3,326,0.95
54,Presbyterian Church (U.S.A.),Mainline Protestant,Presbyterian-Reformed,7,"3,606",10.46
55,Presbyterian Church in America,Evangelical Protestant,Presbyterian-Reformed,1,69,0.20
56,"Progressive National Baptist Convention, Inc.",Black Protestant,Baptist,1,238,0.69
57,Reconstructionist Judaism,Other,Judaism,1,127,0.37
58,Reform Judaism,Other,Judaism,1,"1,809",5.25
59,Reformed Church in America,Mainline Protestant,Presbyterian-Reformed,1,241,0.70
60,Russian Orthodox Church Outside of Russia,Orthodox,Eastern Liturgical (Orthodox),1,300,0.87
61,Salvation Army,Evangelical Protestant,Holiness,2,270,0.78
62,Seventh-day Adventist Church,Evangelical Protestant,Adventist,5,748,2.17
63,Southern Baptist Convention,Evangelical Protestant,Baptist,12,"2,699",7.83
64,Union of Messianic Jewish Congregations,Other,Judaism,1,---,---
65,Unitarian Universalist Association of Congregations,Other,Liberal,2,849,2.46
66,United Church of Christ,Mainline Protestant,Presbyterian-Reformed,13,"3,702",10.74
67,"United Methodist Church, The",Mainline Protestant,Methodist/Pietist,17,"9,039",26.22
68,United Pentecostal Church International,Evangelical Protestant,Pentecostal,3,---,---
69,"Unity Churches, Association of",Other,Other Groups,2,---,---
70,Vineyard USA,Evangelical Protestant,Pentecostal,1,"1,268",3.68
71,"Wesleyan Church, The",Evangelical Protestant,Holiness,2,908,2.63
72,Wisconsin Evangelical Lutheran Synod,Evangelical Protestant,Lutheran,6,"1,535",4.45
73,Zoroastrian,Other,Other Groups,0,13,0.04
